time,s1,s2,s3,s4,s5,s6,s7
0.12020119999942835,128.9437,119.3925,109.9344,203.5480,151.5400,179.4406,115.1987
1.4460155999986455,128.9887,119.4131,110.0006,203.5287,151.5406,179.4349,115.1324
2.7697879999977886,128.9806,119.4537,109.9724,203.5831,151.5362,179.4500,115.1574
4.0940714999997,128.9349,119.4531,109.9912,203.5674,151.5368,179.4074,115.1068
5.419098399997893,128.9843,119.4318,109.9518,203.6012,151.6093,179.4949,115.0512
6.742801500000496,129.0031,119.4631,110.0506,203.5324,151.6000,179.4880,115.0675
8.06915780000054,128.9974,119.4287,109.9537,203.4931,151.5643,179.4199,115.0293
9.394479099999444,128.9793,119.5131,109.9974,203.5668,151.5480,179.4918,115.0087
10.718411300000298,128.9831,119.4912,110.0037,203.5543,151.6000,179.4156,114.9525
12.042171199998847,128.9699,119.4349,109.9925,203.5624,151.6512,179.4062,114.9087
13.368723299998237,129.0093,119.6025,110.5324,203.5781,151.6112,179.4893,114.9474
14.693322200000694,128.9880,119.5506,110.5050,203.5449,151.6081,179.4656,114.9006
16.0175061000009,128.9755,119.5231,110.4594,203.4724,151.5831,179.4712,114.8831
17.34243889999925,129.0093,119.5400,110.5012,203.4550,151.5574,179.5031,114.8818
18.66772239999773,128.9750,119.5831,110.4818,203.5068,151.6387,179.4380,114.8381
19.992014100000233,129.0137,119.6156,110.4900,203.4568,151.6612,179.4980,114.8275
21.317174100000557,129.0275,119.5056,110.0175,203.3906,151.5762,179.6594,115.1631
22.641230799999903,128.9987,119.1356,109.3744,203.5712,151.5793,179.5849,114.8300
23.965214100000594,129.0043,119.6587,109.4094,203.3224,151.3705,179.3574,114.9893
25.29118109999763,129.0287,119.6849,109.4918,203.2587,151.3661,179.3974,114.9131
26.61624049999955,129.0375,119.6574,109.4512,203.3406,151.3987,179.3875,114.9012
27.940381699998397,129.0505,119.6793,109.4787,203.2662,151.3712,179.4006,114.9525
29.2641924999989,129.0256,119.5918,109.4868,203.2625,151.3918,179.3950,114.9262
30.59068479999769,129.0456,119.6181,109.5493,203.3130,151.3950,179.3868,114.9300
31.91532499999812,129.0762,119.6537,109.4675,203.2700,151.4268,179.3887,114.8950
33.23934820000068,129.0574,119.6806,109.4831,203.3375,151.4137,179.3974,114.8549
34.56402779999917,129.0400,119.6625,109.5000,203.3369,151.4706,179.3768,114.8543
35.88801329999842,129.0549,119.6375,109.5862,203.2449,151.4162,179.4068,114.8812
37.21361640000032,129.0480,119.7181,109.5525,203.3668,151.4518,179.4118,114.7668
38.53822310000032,129.0756,119.9868,110.3643,202.2243,152.2050,179.5368,114.6800
39.862376199998835,129.1255,119.8262,110.5893,203.2406,151.7306,179.2924,114.7556
41.18727139999828,129.1587,119.7650,110.4512,203.3105,151.7880,179.3456,114.7219
42.51300120000087,129.1594,119.7643,110.4969,203.3218,151.7918,179.3824,114.7099
43.8381965999979,129.1737,119.7587,110.4275,203.2906,151.7562,179.3893,114.7256
45.16159889999835,129.1543,119.7975,110.4443,203.3130,151.7606,179.4018,114.6793
46.48650839999755,129.1855,119.8112,110.4068,203.3049,151.8099,179.3818,114.7075
47.812489600000845,129.1693,119.7762,110.3637,203.3431,151.7900,179.3868,114.7006
49.13722819999748,129.1393,119.7900,110.3925,203.4286,151.8387,179.3574,114.7025
50.460840499999904,129.1681,119.7793,110.4431,203.3130,151.7793,179.3649,114.6324
51.785833699999785,129.1412,119.7762,110.4081,203.3505,151.8250,179.4056,114.5949
53.10987069999828,129.1568,119.8099,110.3662,203.3199,151.8005,179.3312,114.6937
54.43590140000015,129.1750,119.8025,110.3612,203.4050,151.7987,179.3868,114.6212
55.76079249999748,129.1506,119.4969,108.7918,203.6712,151.7862,179.2562,114.4156
57.08467010000095,129.1956,119.8425,109.7006,203.3224,152.0956,179.5693,114.4699
58.40884179999921,129.1687,119.8156,109.6512,203.3625,152.1425,179.5893,114.4449
59.73511879999933,129.2012,119.8300,109.6656,203.3187,152.0756,179.4712,114.4668
61.05945389999761,129.1550,119.8412,109.6700,203.3143,152.1018,179.4843,114.4581
62.383732899997995,129.1830,119.8349,109.6718,203.3124,152.1262,179.4719,114.4575
63.708726699998806,129.1849,119.8349,109.6831,203.3331,152.0800,179.4775,114.4362
65.0319892999978,129.1743,119.8469,109.6637,203.3193,152.0812,179.4625,114.4256
66.3583037999997,129.1587,119.8575,109.6737,203.2987,152.0605,179.4293,114.4068
67.68261469999925,129.1637,119.8337,109.6869,203.3231,152.0875,179.4500,114.4318
69.00693970000066,129.1743,119.8199,109.6737,203.3656,152.0856,179.4911,114.4056
70.33058959999835,129.2312,119.8449,109.6793,203.3130,152.1181,179.4768,114.4193
71.65687249999974,129.2337,119.8112,109.7331,203.3469,152.1293,179.4787,114.3762
72.98090619999857,129.1893,119.8281,109.6825,203.2980,152.0731,179.5043,114.4037
74.30597499999931,129.1830,119.8606,109.6712,203.3287,152.0956,179.4481,114.3681
75.63050880000083,129.2224,119.8400,109.7912,203.3318,152.1287,179.5349,114.3575
76.95665359999839,129.1830,119.7425,108.6312,202.6643,152.3250,179.3712,114.2993
78.28026580000005,129.1431,119.7800,106.9699,203.1656,152.1137,179.3737,114.2681
79.60508459999983,129.1506,119.8443,109.3012,203.0931,151.5743,179.2187,114.4712
80.92910159999883,129.2443,119.8800,109.2906,203.1243,151.6974,179.1924,114.4662
82.25255239999751,129.1793,119.8193,109.2693,203.1318,151.7099,179.2219,114.4606
83.57857610000065,129.1643,119.8656,109.2893,203.1712,151.6974,179.2231,114.4637
84.9038249999976,129.1880,119.8487,109.3068,203.1730,151.7406,179.2455,114.4631
86.22695889999886,129.2443,119.8956,109.2956,203.1500,151.7650,179.2531,114.4212
87.55156739999802,129.2275,119.8931,109.2606,203.1168,151.8137,179.3043,114.4543
88.87900539999828,129.2287,119.8893,109.3356,203.1687,151.7768,179.1762,114.3900
90.2022434999999,129.1750,119.8625,109.3281,203.1781,151.7574,179.1874,114.4074
