time,s1,s2,s3,s4,s5,s6,s7
0.684339200030081,137.7856,120.3562,115.3518,207.0074,154.2299,180.2068,118.1012
2.011266100103967,137.7599,120.3969,115.3406,207.0474,154.2318,180.2368,118.0775
3.3359791000839323,137.7137,120.3662,115.3950,207.0417,154.2368,180.1818,118.0656
4.660402000066824,137.7931,120.4400,115.3931,207.0461,154.2549,180.2106,118.0256
5.985957500059158,137.7075,120.3706,115.3781,207.0087,154.1899,180.1887,118.0781
7.311952100018971,137.8000,120.4587,115.3937,207.0193,154.2275,180.2219,118.0856
8.63721020007506,137.7962,120.3969,115.3875,207.0737,154.2587,180.2081,118.0074
9.961911700083874,137.7299,120.3731,115.4318,207.1037,154.2231,180.2237,118.0525
11.287455999990925,137.8137,120.4631,115.3549,207.0505,154.2643,180.2406,118.0719
12.612230200087652,137.7844,120.3625,115.3762,207.0555,154.2293,180.1974,118.0162
13.936939200037159,137.8587,120.4637,115.3700,207.0555,154.2731,180.2593,117.9575
15.261895300005563,137.7656,120.4018,115.4012,207.1230,154.3000,180.2318,117.9793
16.58792030008044,137.8018,120.3693,115.3731,207.0768,154.2612,180.2268,117.9793
17.912228100001812,137.8056,120.3925,115.3706,207.1081,154.3224,180.2187,117.9931
19.238130300072953,137.7949,120.3606,115.4074,207.0956,154.2768,180.2255,118.0062
20.562908500083722,139.2756,120.1075,115.3193,207.1049,154.2462,180.2287,117.9125
21.888497900101356,141.6230,120.0275,115.2900,207.0574,154.2712,180.2355,117.9974
23.214227400021628,142.0262,120.0181,115.3331,207.3318,154.2756,180.2106,117.9349
24.538449400104582,142.4568,120.0599,115.2275,207.0937,154.0543,180.0781,117.7719
25.86523480003234,141.8105,120.0487,115.2250,206.9006,154.1587,180.2331,117.9037
27.1903891999973,141.8099,120.0375,115.2525,206.9074,154.2099,180.1880,117.9031
28.515574200078845,141.8505,120.0737,115.2918,206.9468,154.2243,180.2068,117.9106
29.84014010010287,141.8630,120.0556,115.2837,207.0112,154.1762,180.2012,117.9018
31.16683440003544,141.8406,120.0475,115.3075,206.9768,154.1818,180.1806,117.8775
32.49094300006982,141.8250,120.0344,115.2400,206.9305,154.1637,180.1880,117.8974
33.81598210008815,141.8605,120.0687,115.2356,206.9868,154.1830,180.1456,117.8406
35.140967400046065,141.8730,120.0381,115.2599,206.9719,154.1750,180.1830,117.8750
36.467670000041835,141.8674,120.0787,115.2581,206.9281,154.1681,180.1224,117.8900
37.79184110008646,141.8518,120.0400,115.3131,206.9618,154.2062,180.1487,117.8393
39.116452200105414,141.9050,120.0443,115.2700,206.9268,154.1956,180.1949,117.8362
40.44387590000406,141.8824,120.0806,115.3099,206.9930,154.1737,180.1899,117.8362
41.768896499997936,141.9150,120.0562,115.2956,207.0037,154.2281,180.2099,117.8512
43.09342050005216,141.9999,120.0006,115.2350,206.9656,154.2106,180.1681,117.8950
44.41817560000345,146.2131,119.9018,115.2431,206.9218,154.2968,180.1681,117.8012
45.746129400096834,144.2031,119.9543,115.2793,206.9787,154.2343,180.1768,117.8094
47.069670299999416,144.5637,119.9594,115.3493,207.1511,154.1781,180.1618,117.7924
48.39577400009148,144.5630,119.9506,115.3981,207.1449,154.2062,180.1099,117.7875
49.721387800062075,144.5699,119.9506,115.3443,207.1868,154.1924,180.1506,117.7606
51.047357300063595,144.5437,120.0112,115.4193,207.1599,154.2487,180.1255,117.8162
52.371638100012206,144.4943,119.9543,115.3844,207.1737,154.2212,180.1199,117.7562
53.696294800029136,144.5518,120.0156,115.3662,207.1281,154.2543,180.1512,117.8068
55.02308460010681,144.5844,120.0231,115.3412,207.1199,154.1806,180.1074,117.7581
56.347061400068924,144.6287,119.9087,115.3068,207.0305,154.0887,180.0556,117.7268
57.6716833000537,144.5844,119.9393,115.3168,207.0468,154.1406,180.1262,117.6943
58.99742220004555,144.5762,119.9581,115.2762,207.0250,154.1687,180.0762,117.6844
60.32339310005773,144.6056,119.9756,115.3487,207.1105,154.1494,180.0862,117.6612
61.649146000039764,144.5962,119.9969,115.3243,207.0668,154.1968,180.0375,117.6587
62.97369370004162,144.5706,120.0224,115.3431,207.0406,154.1205,180.0624,117.6969
64.2999497000128,144.7719,119.9587,115.3293,207.0800,154.1249,180.0480,117.6244
65.62477800005581,144.9318,119.9893,115.3224,207.0574,154.1362,180.0512,117.6131
66.95005070010666,147.6518,119.8081,115.3719,207.1618,154.2212,180.1187,117.6731
