time,s1,s2,s3,s4,s5,s6,s7
0.5704705999960424,131.3618,94.4094,124.2931,135.8369,116.3800,137.1181,123.8531
1.8965496999953757,131.3493,94.4481,124.2581,135.8612,116.3268,137.1630,123.9443
3.220847500000673,131.3137,94.4400,124.2606,135.9118,116.3700,137.1112,123.9018
4.545461099995009,131.3737,94.4506,124.2737,135.8843,116.4344,137.0825,123.9031
5.869671599997673,131.3774,94.4225,124.2543,135.9431,116.4031,137.0931,123.8756
7.195732499996666,131.4224,94.4675,124.3131,135.9637,116.4537,136.9987,123.8887
8.520990599994548,131.3275,94.4419,124.2650,135.9855,116.4681,136.9712,123.8943
9.845853899998474,131.3549,94.5325,124.2924,136.0224,116.5099,137.0005,123.8525
11.17021399999794,131.3918,94.4243,124.2812,136.0556,116.4850,136.9793,123.9500
12.496349199995166,131.3843,94.5318,124.3075,136.0656,116.4812,136.9306,123.9337
13.821779300000344,131.3587,94.4437,124.3331,136.0800,116.5219,136.9018,123.9025
15.145715499995276,131.3531,94.4962,124.2924,136.0743,116.5575,136.8875,123.9037
16.470232299994677,131.4768,94.5187,124.3012,136.0887,116.5481,136.9018,123.9550
17.797035600000527,131.4087,94.4625,124.3518,136.1099,116.5831,136.8818,123.8768
19.121312699993723,131.4500,94.5050,124.3250,136.1643,116.3618,137.0637,123.8625
20.4454340999946,131.4212,94.4856,124.3281,136.2587,117.2318,147.5449,123.2975
21.77051550000033,131.4719,94.5187,124.3562,136.2574,117.2331,138.8656,123.4831
23.096198799998092,131.4631,94.5187,124.3881,136.2493,117.2693,139.4675,123.4793
24.42045320000034,131.5137,94.5468,124.3331,136.2631,117.2824,139.5781,123.4831
25.74589500000002,131.4980,94.5500,124.3787,136.2793,117.3000,139.4543,123.4937
27.06919740000012,131.5037,94.5337,124.3724,136.3618,117.3437,139.5162,123.5087
28.39681009999913,131.5125,94.5275,124.4181,136.2949,117.3724,139.3574,123.4906
29.720342099994014,131.5168,94.6112,124.3775,136.3456,117.3525,139.4187,123.5306
31.0451436000003,131.4893,94.6075,124.3956,136.3743,117.3831,139.4199,123.5219
32.36871719999908,131.4793,94.5637,124.3862,136.3974,117.3349,139.3406,123.5281
33.695423400000436,131.5275,94.5468,124.4281,136.3887,117.4487,139.3674,123.5162
35.02021539999987,131.4949,94.5562,124.4474,136.4525,117.4268,139.3618,123.5131
36.344471599993994,131.5112,94.6156,124.4312,136.4449,117.4687,139.3531,123.4737
37.66971759999433,131.4324,94.5887,124.4456,136.4887,117.4268,139.3568,123.5081
38.99516179999773,131.5081,94.5943,124.4300,136.5062,117.9250,143.9775,123.4812
40.31970100000035,131.5762,94.6087,124.3981,136.4812,117.4112,155.4462,123.2506
41.64474699999846,131.5024,94.6175,124.4550,136.5068,117.3250,143.8981,123.3900
42.96870549999585,131.5262,94.6231,124.4025,136.5087,117.2518,143.9712,123.3549
44.29478399999789,131.4875,94.5068,124.3818,136.5468,117.3037,143.9525,123.4406
45.61980599999515,131.4968,94.5975,124.4606,136.5380,117.3369,143.9737,123.4268
46.94382819999737,131.5312,94.6281,124.4181,136.5487,117.3931,144.0143,123.4181
48.26887269999861,131.5231,94.5393,124.4825,136.6450,117.3831,143.9437,123.3724
49.59484849999717,131.5106,94.5793,124.4525,136.6143,117.4118,143.9999,123.3618
50.91865599999437,131.4955,94.5844,124.4599,136.6193,117.4081,143.9743,123.3275
52.24394079999911,131.5224,94.6125,124.5118,136.6718,117.4025,143.9343,123.3812
53.568406399994274,131.5212,94.6518,124.4868,136.6581,117.4775,143.8981,123.4181
54.89442069999495,131.5312,94.6062,124.4506,136.6699,117.4562,143.9106,123.3912
56.21955750000052,131.5587,94.6037,124.4793,136.7050,117.4487,143.9162,123.3187
57.544039199994586,131.5200,94.6406,124.4950,136.6681,117.3243,148.4268,123.2856
58.86917849999736,131.5237,94.5612,124.5162,136.8325,117.3668,148.2411,123.2312
60.19492639999953,131.5262,94.6462,124.4681,136.8174,117.3719,148.1400,123.2681
61.520062399999006,131.4937,94.5837,124.4599,136.8156,117.3781,148.1343,123.2587
62.84440949999407,131.4968,94.6350,124.4906,136.8162,117.4531,148.0175,123.3000
64.16967289999593,131.5175,94.6294,124.5094,136.8568,117.4731,148.0949,123.2831
65.49457609999808,131.5244,94.6031,124.5156,136.8474,117.4406,148.0962,123.2893
66.81998089999979,131.5112,94.6412,124.5068,136.8837,117.4237,148.0449,123.2643
68.14564849999442,131.5175,94.6256,124.5137,136.8718,117.4793,148.0693,123.2481
69.46882840000035,131.5512,94.6268,124.4762,136.9181,117.4474,148.0531,123.2481
70.79572899999766,131.4962,94.6244,124.5281,136.9362,117.4362,148.0262,123.2243
72.12033289999817,131.5037,94.6750,124.5306,136.9493,117.4918,148.0237,123.2512
73.44468269999925,131.5462,94.5962,124.5724,136.9806,117.5268,148.0187,123.2050
74.76948709999851,131.5562,94.6731,124.5181,136.9719,117.4843,147.9899,123.2800
76.09560169999895,131.5093,94.6194,124.5456,137.0306,117.5381,148.0756,123.2012
