time,s1,s2,s3,s4,s5,s6,s7
0.15530089999811025,119.7137,113.1000,105.6356,192.8181,143.1205,164.2281,107.9681
1.4800342999951681,119.7675,113.0699,105.5193,192.8743,143.0712,164.2868,108.0237
2.8059672999952454,119.7700,113.0400,105.4925,192.8643,143.0718,164.2556,108.0556
4.13089459999901,119.8150,112.9687,105.5318,192.8431,143.1318,164.2662,108.0987
5.456693799998902,119.8237,113.0668,105.5812,192.8649,143.1081,164.2806,108.0781
6.781049499993969,119.8781,113.0262,105.5112,192.8768,143.1274,164.2844,108.1143
8.10730849999527,119.9775,113.0131,105.5131,192.8549,143.1037,164.2943,108.1543
9.43271839999943,119.9837,112.9518,105.5306,192.8449,143.0762,164.3018,108.1293
10.757370899998932,120.0193,112.9225,105.5675,192.8362,143.1343,164.3130,108.2262
12.081569999994827,120.0650,112.9418,105.6193,192.8605,143.0974,164.3137,108.1881
13.407519299995329,120.0681,112.9437,105.5481,192.8306,143.0806,164.3681,108.1931
14.732887899997877,120.1075,112.9231,105.4950,192.8349,143.1268,164.3074,108.2418
16.056915499997558,120.0281,114.2456,105.6112,192.8737,143.1431,164.3487,108.2243
17.38323749999836,120.5500,116.7331,105.4187,192.7512,143.0562,164.4625,108.3344
18.708240599997225,120.5962,116.7968,105.4500,192.7349,143.1043,164.3906,108.3543
20.032274099998176,120.7256,116.8412,105.3744,192.8118,143.0737,164.3962,108.4362
21.358229099998425,120.7243,116.8119,105.4050,192.8206,143.1506,164.4281,108.4293
22.68403839999519,120.8275,116.8087,105.4431,192.7974,143.0681,164.4424,108.4449
24.00845959999424,120.7631,116.7537,105.3812,192.7844,143.0549,164.4650,108.4118
25.33331029999681,120.8293,116.7125,105.4550,192.7818,143.1230,164.4506,108.4037
26.65892940000049,120.8637,116.7456,105.4193,192.8287,143.1506,164.4543,108.4893
27.984721199994965,120.8837,116.7443,105.4575,192.7993,143.1255,164.4306,108.4562
29.308885099999316,120.9206,116.7231,105.4150,192.8456,143.0693,164.4993,108.4612
30.633959299993876,120.9637,116.7668,105.4362,192.7924,143.1199,164.4412,108.4856
31.9607302000004,120.9994,116.6831,105.4437,192.8643,143.1368,164.5031,108.5318
33.28517599999759,121.0781,116.6662,105.4400,192.7887,143.1125,164.4449,108.4525
34.610892999997304,120.9500,116.7724,105.4344,192.8181,143.1312,164.5106,108.4606
35.934797199995955,121.0050,121.0344,105.4156,192.8493,143.0775,164.4712,108.5387
37.26137259999814,121.0000,121.0668,105.3800,192.7880,143.1093,164.4799,108.5306
38.586307400000806,121.0875,121.0662,105.3912,192.8174,143.1099,164.5268,108.5337
39.9107950999969,121.0800,121.0906,105.3775,192.8500,143.1406,164.4949,108.5456
41.235976399999345,121.1312,120.9799,105.3744,192.7993,143.1762,164.4993,108.5587
42.561264299998584,121.1844,121.0081,105.4168,192.8400,143.1730,164.5168,108.4875
