time,s1,s2,s3,s4,s5,s6,s7
0.4287301000003936,125.2281,114.9887,107.9143,195.7399,142.7206,170.1912,127.8012
1.753445800000918,125.1937,114.9843,107.9050,195.7793,142.7331,170.2375,127.7849
3.0779210000036983,125.2631,115.0012,107.8756,195.8074,142.6924,170.2418,127.7693
4.403437000000849,125.2237,114.9900,107.9137,195.7849,142.6487,170.2162,127.8237
5.7287950000027195,125.2012,114.9500,107.9706,195.7993,142.6556,170.1849,127.7956
7.053129399995669,125.2406,114.9612,107.9162,195.7693,142.6893,170.1949,127.7350
8.377966200001538,125.2250,114.9681,107.9719,195.7893,142.6918,170.1931,127.7719
9.705188799998723,125.2087,114.9550,107.9050,195.7631,142.7231,170.2112,127.8193
11.029495299997507,125.2281,114.9631,107.9487,195.8005,142.6730,170.2331,127.8081
12.353428600006737,125.2406,114.9562,107.8568,195.8224,142.6880,170.1774,127.8231
13.67866689999937,125.1818,114.9762,107.9050,195.7868,142.7125,170.1906,127.7587
15.004450100008398,125.2162,115.0087,107.8937,195.8724,142.7512,169.9662,147.0074
16.32947029999923,125.2550,114.9875,107.9168,195.8281,142.6474,170.2156,140.8956
17.653617600008147,125.2212,114.9950,107.9118,195.7824,142.7006,170.1481,140.7656
18.978336600004695,125.2325,114.9599,107.9437,195.8437,142.6993,170.2099,140.7012
20.30488169999444,125.2599,115.0068,107.8849,195.8412,142.6906,170.1849,140.6618
21.629422400001204,125.2025,114.9637,107.9218,195.8400,142.7068,170.2324,140.5943
22.954200299995136,125.2875,115.0643,107.9268,195.8393,142.6587,170.2212,140.5993
24.27906030000304,125.2193,115.0031,107.9425,195.7831,142.6837,170.1818,140.5974
25.605353200007812,125.2325,114.9425,107.9125,195.8406,142.6868,170.1843,140.5768
26.93035609999788,125.2594,114.9781,107.8943,195.8281,142.7337,170.1918,140.5131
28.25565760000609,125.2768,115.0006,107.9418,195.8281,142.7599,170.2437,140.5268
29.579795199999353,125.2350,114.9587,107.9125,195.8518,142.6843,170.2349,140.5074
30.90662660000089,125.2537,115.0275,107.9081,195.8356,142.6968,170.1974,140.4775
32.23138630000176,125.1925,115.0181,107.8762,195.7512,142.6855,170.2281,140.5231
33.556171799995354,125.2818,114.9750,107.8868,195.8080,142.6906,170.2119,140.4862
34.881411199996364,125.2643,114.9875,107.9043,195.8162,142.7281,170.2075,140.4699
36.207005500007654,125.2299,114.9962,107.9006,195.7956,142.6830,170.2087,143.9675
37.53188460000092,125.2381,114.9087,107.9619,195.9106,142.6418,170.0781,136.9543
38.85542859999987,125.2931,115.0068,107.8719,195.9174,142.7756,170.0712,152.8587
40.18081049999455,125.2381,114.9875,107.8969,195.9162,142.7650,170.1193,152.9343
41.50732420000713,125.2506,115.0106,107.8912,195.9293,142.8068,170.1255,152.8705
42.83178989999578,125.2800,114.9737,107.9306,195.9512,142.7643,170.1218,152.8856
