,time,p4,p5,p6
0,0.0,0.0,0.0,0.0
1,0.028560161590576172,0.0,1.8932999999999538,0.2981999999999516
2,0.05558943748474121,0.0,-0.37819999999999254,0.8937999999999988
3,0.08310508728027344,0.0,-0.2536999999999807,1.1737999999999715
4,0.11003303527832031,0.0,0.2780999999999949,0.8588999999999487
5,0.13662028312683105,0.0,0.3524999999999636,1.489499999999964
6,0.16472101211547852,0.0,-0.05010000000004311,1.7699999999999818
7,0.19095659255981445,0.0,2.147000000000048,2.050799999999981
8,0.2191450595855713,0.0,0.3524999999999636,2.0675999999999704
9,0.24728012084960938,0.0,1.2374999999999545,2.050799999999981
10,0.2733170986175537,0.0,1.5652000000000044,2.927599999999984
11,0.300217866897583,0.0,1.2374999999999545,3.241899999999987
12,0.327054500579834,0.0,0.9343000000000075,2.9437999999999533
13,0.35454535484313965,0.0,0.606200000000058,3.241899999999987
14,0.38097572326660156,0.0,2.0475999999999885,3.8374999999999773
15,0.408541202545166,0.0,1.5155999999999494,4.135699999999986
16,0.43787288665771484,0.0,2.7531999999999925,3.854499999999973
17,0.46563029289245605,0.0,1.2374999999999545,5.0125999999999635
18,0.4904460906982422,0.0,1.2374999999999545,4.433199999999999
19,0.5171313285827637,0.0,1.8437000000000126,4.433199999999999
20,0.5438101291656494,0.0,2.7776000000000067,4.731299999999976
21,0.5710041522979736,0.0,1.2620000000000573,4.731299999999976
22,0.5990657806396484,0.0,2.1713999999999487,5.0125999999999635
23,0.6254963874816895,0.0,1.2374999999999545,5.0125999999999635
24,0.6544368267059326,0.0,2.7776000000000067,4.698199999999986
25,0.683098316192627,0.0,0.9587000000000216,5.326999999999998
26,0.708134651184082,0.0,0.9094000000000051,5.625
27,0.7342891693115234,0.0,0.9838999999999487,5.310699999999997
28,0.7614133358001709,0.0,2.7030999999999494,5.326999999999998
29,0.7888028621673584,0.0,0.049600000000054933,5.608299999999986
30,0.816011905670166,0.0,0.049600000000054933,5.608299999999986
31,0.8432183265686035,0.0,-0.22879999999997835,5.625
32,0.8714871406555176,0.0,-0.5317000000000007,4.731299999999976
33,0.8993465900421143,0.0,-0.8350000000000364,5.591899999999953
34,0.9258136749267578,0.0,-0.5569000000000415,4.118799999999965
35,0.95339035987854,0.0,-1.7936999999999443,4.135699999999986
36,0.9795920848846436,0.0,-2.350599999999986,4.135699999999986
37,1.0068683624267578,0.0,-2.653599999999983,3.854499999999973
38,1.0338184833526611,0.0,-3.2100000000000364,3.258799999999951
39,1.0618796348571777,0.0,-4.169200000000046,2.680699999999945
40,1.0891423225402832,0.0,-4.094200000000001,2.348099999999988
41,1.1160085201263428,0.0,-5.0031999999999925,1.489499999999964
42,1.1432127952575684,0.0,-6.8718000000000075,1.1913999999999874
43,1.1703484058380127,0.0,-7.706299999999942,-0.31490000000002283
44,1.1973416805267334,0.0,-9.195600000000013,-0.8768000000000029
45,1.2259800434112549,0.0,-10.433599999999956,-2.945600000000013
46,1.2533833980560303,0.0,-12.201199999999972,-4.11930000000001
47,1.281182050704956,0.0,-14.322499999999991,-5.889300000000048
48,1.3089981079101562,0.0,-14.549099999999953,-7.956800000000044
49,1.3350658416748047,0.0,-17.90840000000003,-10.303700000000049
50,1.3630633354187012,0.0,-20.60990000000004,-12.633700000000033
51,1.3890907764434814,0.0,-21.7192,-16.486800000000017
52,1.4162790775299072,0.0,-26.237999999999943,-20.322400000000016
53,1.4435508251190186,0.0,-29.795399999999972,-25.01430000000005
54,1.4697277545928955,0.0,-33.37869999999998,-31.787500000000023
55,1.49699068069458,0.0,-37.84379999999999,-39.47060000000005
56,1.524019718170166,0.0,-42.88670000000002,-50.926800000000014
57,1.55141019821167,0.0,-48.36429999999996,-64.69740000000002
58,1.5780038833618164,0.0,-52.747299999999996,-86.16670000000005
59,1.6049458980560303,0.0,-54.23440000000005,-73.6431
60,1.6317803859710693,0.0,-53.93190000000004,-43.9375
61,1.6585557460784912,0.0,-52.14179999999999,-18.09480000000002
62,1.6855988502502441,0.0,-51.31299999999999,5.916399999999953
63,1.7157578468322754,0.0,-50.351099999999974,54.33119999999997
64,1.7404286861419678,0.0,-49.4692,75.13069999999996
65,1.7678945064544678,0.0,-48.03489999999999,76.57439999999997
66,1.7950725555419922,0.0,-44.42719999999997,68.55879999999996
67,1.821875810623169,0.0,-40.4905,63.816299999999984
68,1.8491160869598389,0.0,-39.581800000000044,60.54569999999998
69,1.8760371208190918,0.0,-39.91110000000003,59.37129999999996
70,1.9027996063232422,0.0,-40.26679999999999,58.43439999999998
71,1.9315669536590576,0.0,-41.09590000000003,57.586899999999986
